pop,rock,country,metal,hip hop,R&B,Dance/Electronic,Folk/Acoustic,easy listening,latin,blues,set(),World/Traditional,jazz,classical,year,popularity
1.0,,,,,1.0,,,,,,,,,,2001,56
1.0,1.0,,,,,,,,,,,,,,2000,68
1.0,,,,,,,,,,,,,,,2002,46
,,,,,,1.0,,,,,,,,,2018,0
1.0,,,,,1.0,,,,,,,,,,2001,65
1.0,,,,,,,,,,,,,,,2001,66
1.0,,,,1.0,1.0,,,,,,,,,,2001,64
1.0,,,,,1.0,,,,,,,,,,2001,65
,,,,,,1.0,,,,,,,,,2001,54
1.0,,,,1.0,1.0,,,,,,,,,,2001,66
1.0,,,,,1.0,,,,,,,,,,2000,0
,,,,,,1.0,,,,,,,,,2001,51
1.0,1.0,,,,,,,,,,,,,,2001,48
1.0,,,,,,1.0,,,,,,,,,2001,0
1.0,,,,1.0,,,,,,,,,,,2000,54
1.0,,,,,1.0,,,,,,,,,,2001,60
1.0,,,,1.0,1.0,,,,,,,,,,2000,75
1.0,,,,1.0,,,,,,,,,,,2001,59
1.0,1.0,,,,,,,,,,,,,,2001,68
,,,,1.0,,,,,,,,,,,2001,63
1.0,,,,,1.0,,,,,,,,,,2001,69
,1.0,,,,,,,,,,,,,,2000,56
1.0,,,,,1.0,,,,,,,,,,2019,30
,1.0,,1.0,,,,,,,,,,,,2001,64
1.0,,,,,1.0,,,,,,,,,,2000,56
1.0,,,,1.0,1.0,,,,,,,,,,2001,65
1.0,,,,,,,,,,,,,,,2001,45
1.0,1.0,,1.0,,,,,,,,,,,,2000,61
1.0,,,,1.0,1.0,,,,,,,,,,2002,77
,,,,1.0,,,,,,,,,,,2002,87
1.0,,,,,,,,,,,,,,,2002,78
1.0,,,,,,,1.0,,,,,,,,2002,75
1.0,,,,,,,,,,,,,,,2001,72
1.0,,,,,,,,,1.0,,,,,,2001,64
1.0,1.0,,,,,,,,,,,,,,2001,27
1.0,,,,,1.0,,,,,,,,,,2002,58
1.0,,,,1.0,,,,,,,,,,,2002,68
,,,,1.0,,,,,,,,,,,2002,85
1.0,,,,1.0,,,,,,,,,,,2004,69
1.0,,,,1.0,1.0,,,,,,,,,,2001,60
1.0,,,,,,,,,,,,,,,2003,53
1.0,,,,1.0,1.0,,,,,,,,,,2002,53
1.0,,,,,,,,,,,,,,,2019,40
,1.0,,1.0,,,,,,,,,,,,2000,83
,,,,,,,,,,,1.0,,,,2002,66
1.0,,,,1.0,1.0,,,,,,,,,,2019,0
1.0,,,,,,1.0,,,,,,,,,2002,54
1.0,,,,,1.0,,,,,,,,,,2002,59
,1.0,,1.0,,,,,,,,,,,,2003,60
1.0,,,,1.0,1.0,,,,,,,,,,2002,43
,,,1.0,,,,,,,,,,,,2003,66
1.0,,,,,,,,,,,,,,,2001,61
1.0,,,,,,1.0,,,,,,,,,2013,46
1.0,,,,1.0,1.0,,,,,,,,,,2001,49
1.0,,,,1.0,1.0,,,,,,,,,,2002,42
1.0,,,,1.0,1.0,,,,,,,,,,2002,52
1.0,,,,,,,,,,,,,,,2002,60
1.0,,,,1.0,,,,,,,,,,,2001,55
1.0,,,,,,,,,,,,,,,2001,59
1.0,,,,,,1.0,,,,,,,,,2013,47
1.0,,,,1.0,1.0,,,,,,,,,,2002,58
1.0,,,,1.0,,,,,,,,,,,2002,59
1.0,,,,,1.0,,,,,,,,,,2015,59
1.0,,,,1.0,1.0,,,,,,,,,,2002,64
1.0,,,,,,1.0,,,,,,,,,2000,55
1.0,,,,1.0,1.0,,,,,,,,,,2002,75
1.0,,,,,,,,,,,,,,,2003,53
1.0,,,,,,,,,,,,,,,2002,68
1.0,,,,1.0,1.0,,,,,,,,,,2002,49
1.0,,,,,1.0,,,,,,,,,,2002,45
,,,,,,1.0,,,,,,,,,2002,48
1.0,,,,1.0,,,,,,,,,,,2001,73
1.0,,,,,,,,,,,,,,,2019,43
1.0,1.0,,,,,,,,,,,,,,2001,26
1.0,,,,1.0,1.0,,,,,,,,,,2002,2
,1.0,,,,,,,,,,,,,,2002,80
1.0,,,,,1.0,,,,,,,,,,2002,58
1.0,,,,1.0,,,,,,,,,,,2002,59
1.0,,,,1.0,1.0,,,,,,,,,,2001,53
1.0,,,,,,,,,,,,,,,2002,47
1.0,,,,,,1.0,,,,,,,,,2001,55
1.0,,,,1.0,,,,,,,,,,,2002,58
1.0,,,,,,,,,,,,,,,2003,35
1.0,,,,1.0,,,,,,,,,,,2005,63
1.0,,,,,,,,,,,,,,,2001,45
1.0,1.0,,,,,,,,,,,,,,2001,24
1.0,,,,1.0,1.0,,,,,,,,,,2002,55
1.0,,,,,,1.0,,,,,,,,,2002,62
1.0,,,,,,,,,,,,,,,2002,62
1.0,,,,,1.0,,,,,,,,,,2001,32
1.0,,,,,,,,,,,,,,,2001,53
,,,,1.0,,,,,,,,,,,2002,71
1.0,,,,1.0,1.0,,,,,,,,,,2002,61
1.0,,,,,,,,,,,,,,,2003,54
1.0,,,,,,,,,,,,,,,2001,68
1.0,,,,,1.0,,,,,,,,,,2001,52
1.0,,,,,,,,,,,,,,,2002,56
1.0,1.0,,,,,,,,,,,,,,2002,79
1.0,,,,1.0,1.0,,,,,,,,,,2002,70
1.0,1.0,,,,,,,,,,,,,,2002,60
1.0,,,,1.0,,,,,,,,,,,2002,64
1.0,1.0,,1.0,,,,,,,,,,,,2001,69
1.0,,,,1.0,1.0,,,,,,,,,,2001,73
1.0,,,,1.0,1.0,,,,,,,,,,2002,70
1.0,,,,,,,,,,,,,,,2002,75
1.0,,,,,,,,,,,,,,,2002,63
1.0,,,,,,,,,,,,,,,2001,58
1.0,,,,1.0,,,,,,,,,,,2002,67
,1.0,,,,,,,,,,,,,,2002,73
,1.0,,,,,,,1.0,,,,,,,2002,60
1.0,,,,,,,,,,,,,,,2002,65
1.0,,,,,,,,,,,,,,,2001,50
1.0,1.0,,,,,,,,,,,,,,2001,64
1.0,,,,,,,1.0,,,,,,,,2002,57
1.0,,,,1.0,1.0,,,,,,,,,,2001,59
1.0,1.0,,1.0,,,,,,,,,,,,2015,47
1.0,1.0,,,,,,,,,,,,,,2002,56
,1.0,,1.0,,,,,,,,,,,,2001,70
1.0,,,,1.0,,,,,,,,,,,2001,60
,,,,,,,,,,,1.0,,,,2012,40
1.0,1.0,,1.0,,,,,,,,,,,,2001,40
1.0,,,,,,,1.0,,,,,,,,2001,60
1.0,,,,,,,,,,,,,,,2002,58
1.0,,,,,,,,,1.0,,,,,,2001,56
,1.0,,1.0,,,,,,,,,,,,2001,64
1.0,1.0,,,,,,,,,,,,,,2002,72
1.0,,,,1.0,,,,,,,,,,,2001,51
1.0,,,,,,,,,,,,,,,2001,60
1.0,,,,1.0,,,,,,,,,,,2003,81
1.0,,,,1.0,,,,,,,,,,,2002,74
,,,,1.0,,,,,,,,,,,2004,77
1.0,,,,,1.0,,,,,,,,,,2003,76
1.0,1.0,,,,,,,,,,,,,,2003,50
1.0,,,,1.0,,,,,,,,,,,2003,68
1.0,,,,1.0,1.0,,,,,,,,,,2002,70
1.0,,,,1.0,,,,,,,,,,,2003,56
1.0,,,,,,,,,,,,,,,2020,39
1.0,,,,,,1.0,,,,,,,,,2003,66
1.0,,,,1.0,,,,,,,,,,,2002,68
,,,,1.0,,,,,,,,1.0,,,2003,61
1.0,,,,,,1.0,,,,,,,,,2004,59
,,,,1.0,,,,,,,,,,,2002,71
