,popularity,year,variable,value
474,43,2004,pop,1.0
475,55,2003,pop,1.0
477,61,2004,pop,1.0
478,48,2003,pop,1.0
479,68,2004,pop,1.0
480,44,2003,pop,1.0
482,62,2003,pop,1.0
483,74,2002,pop,1.0
485,56,2004,pop,1.0
486,55,2003,pop,1.0
487,76,2004,pop,1.0
488,59,2004,pop,1.0
491,64,2003,pop,1.0
492,66,2003,pop,1.0
493,59,2004,pop,1.0
494,57,2003,pop,1.0
496,65,2001,pop,1.0
497,56,2004,pop,1.0
498,55,2003,pop,1.0
499,61,2003,pop,1.0
500,69,2005,pop,1.0
501,72,2004,pop,1.0
503,77,2005,pop,1.0
504,79,2005,pop,1.0
505,75,2005,pop,1.0
507,72,2005,pop,1.0
508,74,2005,pop,1.0
509,28,2004,pop,1.0
510,74,2005,pop,1.0
511,76,2005,pop,1.0
512,67,2005,pop,1.0
514,59,2005,pop,1.0
515,68,2004,pop,1.0
517,73,2005,pop,1.0
518,72,2005,pop,1.0
519,74,2005,pop,1.0
520,71,2005,pop,1.0
521,0,2005,pop,1.0
522,67,2005,pop,1.0
523,61,2004,pop,1.0
524,60,2005,pop,1.0
525,4,2005,pop,1.0
526,65,2005,pop,1.0
528,77,2005,pop,1.0
530,62,2005,pop,1.0
531,21,2004,pop,1.0
533,64,2005,pop,1.0
534,55,2005,pop,1.0
536,72,2005,pop,1.0
538,54,2004,pop,1.0
539,58,2005,pop,1.0
540,52,2005,pop,1.0
541,50,2004,pop,1.0
542,63,2005,pop,1.0
543,67,2005,pop,1.0
544,56,2005,pop,1.0
546,65,2005,pop,1.0
547,63,2005,pop,1.0
548,63,2005,pop,1.0
550,39,2004,pop,1.0
551,41,2005,pop,1.0
552,63,2004,pop,1.0
553,52,2005,pop,1.0
554,52,2008,pop,1.0
555,59,2004,pop,1.0
557,52,2005,pop,1.0
558,69,2004,pop,1.0
559,59,2005,pop,1.0
561,50,2003,pop,1.0
563,56,2005,pop,1.0
564,60,2005,pop,1.0
565,66,2004,pop,1.0
566,0,2005,pop,1.0
567,57,2005,pop,1.0
568,34,2020,pop,1.0
569,66,2005,pop,1.0
571,59,2004,pop,1.0
572,61,2005,pop,1.0
573,1,2005,pop,1.0
574,62,2005,pop,1.0
577,1,2006,pop,1.0
578,62,2005,pop,1.0
580,61,2004,pop,1.0
581,71,2004,pop,1.0
582,52,2012,pop,1.0
584,0,2005,pop,1.0
585,58,2004,pop,1.0
586,67,2005,pop,1.0
587,62,2004,pop,1.0
588,69,2005,pop,1.0
590,61,2004,pop,1.0
591,69,2005,pop,1.0
592,71,2005,pop,1.0
593,55,2004,pop,1.0
594,71,2004,pop,1.0
596,65,2005,pop,1.0
598,59,2004,pop,1.0
600,82,2005,pop,1.0
601,78,2005,pop,1.0
602,78,2006,pop,1.0
603,70,2007,pop,1.0
605,73,2006,pop,1.0
607,61,2006,pop,1.0
608,79,2006,pop,1.0
609,69,2006,pop,1.0
610,55,2006,pop,1.0
611,61,2005,pop,1.0
612,71,2005,pop,1.0
613,75,2005,pop,1.0
614,82,2006,pop,1.0
615,39,2015,pop,1.0
616,58,2006,pop,1.0
617,68,2005,pop,1.0
618,59,2006,pop,1.0
620,65,2006,pop,1.0
622,63,2005,pop,1.0
623,57,2004,pop,1.0
624,73,2006,pop,1.0
625,63,2006,pop,1.0
626,57,2005,pop,1.0
627,67,2006,pop,1.0
628,40,2006,pop,1.0
630,66,2006,pop,1.0
631,1,2006,pop,1.0
632,72,2006,pop,1.0
634,60,2005,pop,1.0
635,64,2006,pop,1.0
636,57,2006,pop,1.0
637,0,2011,pop,1.0
638,63,2005,pop,1.0
639,42,2006,pop,1.0
640,57,2007,pop,1.0
641,0,2006,pop,1.0
643,50,2006,pop,1.0
644,49,2005,pop,1.0
646,69,2005,pop,1.0
647,49,2012,pop,1.0
648,70,2006,pop,1.0
650,60,2006,pop,1.0
652,62,2006,pop,1.0
655,57,2007,pop,1.0
656,64,2006,pop,1.0
657,62,2006,pop,1.0
658,37,2006,pop,1.0
659,56,2006,pop,1.0
662,45,2006,pop,1.0
663,72,2005,pop,1.0
